ID,RTE_NAME,A,B,DIR,DISTANCE,FACTYPE,CAP_R,FFSPEED_R,LANES
1,,1,5500,0,9e-05,11,0,0,0
2,,2,5472,0,0.6746,11,0,0,0
3,,3,4469,0,0.12094,11,0,0,0
4,,4,4474,0,0.79725,11,0,0,0
5,,4,4830,0,0.43859,11,0,0,0
6,,5,5353,0,0.57688,11,0,0,0
7,,6,5394,0,0.93507,11,0,0,0
8,,7,5609,0,0.22467,11,0,0,0
9,,8,5619,0,0.97971,11,0,0,0
10,,9,5537,0,0.23593,11,0,0,0
11,,9,5566,0,0.57694,11,0,0,0
12,,10,5431,0,0.20055,11,0,0,0
13,,11,4830,0,0.22888,11,0,0,0
14,,12,5118,0,0.68417,11,0,0,0
15,,12,5154,0,0.55235,11,0,0,0
16,,13,4565,0,0.32839,11,0,0,0
17,,14,4065,0,0.76626,11,0,0,0
18,,14,4393,0,0.48671,11,0,0,0
19,,15,4672,0,0.58885,11,0,0,0
20,,15,4954,0,1.05174,11,0,0,0
20,,15,5136,0,1.18566,11,0,0,0
21,,16,3735,0,0.30966,11,0,0,0
22,,17,5175,0,0.41128,11,0,0,0
23,,18,4458,0,1.03039,11,0,0,0
24,,18,4643,0,0.79103,11,0,0,0
25,,19,1082,0,0.70971,11,0,0,0
26,,20,1033,0,0.21799,11,0,0,0
27,,21,4678,0,0.33766,11,0,0,0
27,,21,5716,0,0.24347,11,0,0,0
28,,22,4739,0,0.06141,11,0,0,0
29,,22,4792,0,0.1803,11,0,0,0
30,,23,4920,0,0.17519,11,0,0,0
31,,24,4875,0,0.09953,11,0,0,0
32,,24,4893,0,0.15732,11,0,0,0
33,,25,5160,0,0.11559,11,0,0,0
34,,26,5178,0,0.03978,11,0,0,0
35,,26,5192,0,0.28824,11,0,0,0
36,,27,5104,0,0.4053,11,0,0,0
37,,28,4708,0,0.53799,11,0,0,0
38,,29,5145,0,0.38294,11,0,0,0
39,,30,5333,0,0.2807,11,0,0,0
40,,31,5328,0,0.47197,11,0,0,0
41,,31,5332,0,0.25031,11,0,0,0
42,,32,5305,0,0.52829,11,0,0,0
43,,33,5046,0,0.24195,11,0,0,0
44,,34,5218,0,0.27383,11,0,0,0
45,,35,4376,0,0.27091,11,0,0,0
46,,35,4554,0,0.24082,11,0,0,0
48,,36,2699,0,0.61767,11,0,0,0
49,,36,2771,0,0.20628,11,0,0,0
50,,37,2556,0,0.05558,11,0,0,0
51,,38,2688,0,0.07508,11,0,0,0
52,,39,2402,0,0.20628,11,0,0,0
53,,40,2180,0,0.06431,11,0,0,0
54,,41,2217,0,0.30938,11,0,0,0
55,,41,2363,0,0.30161,11,0,0,0
56,,42,2117,0,0.39694,11,0,0,0
57,,42,2191,0,0.34822,11,0,0,0
58,,42,2334,0,0.31155,11,0,0,0
59,,43,1859,0,0.53531,11,0,0,0
61,,43,1996,0,0.48314,11,0,0,0
62,,43,2149,0,0.62429,11,0,0,0
63,,44,1743,0,0.57257,11,0,0,0
64,,44,1933,0,0.42215,11,0,0,0
66,,45,1847,0,0.36868,11,0,0,0
67,,45,1884,0,0.24675,11,0,0,0
65,,45,1972,0,0.82111,11,0,0,0
68,,46,1616,0,0.16039,11,0,0,0
69,,47,1590,0,0.78599,11,0,0,0
70,,48,1160,0,0.18381,11,0,0,0
71,,49,1165,0,0.22512,11,0,0,0
72,,50,1154,0,1.70507,11,0,0,0
73,,50,1197,0,1.42611,11,0,0,0
74,,51,1160,0,1.0887,11,0,0,0
75,,52,1200,0,0.61646,11,0,0,0
76,,53,1210,0,0.78002,11,0,0,0
77,,54,1473,0,0.4444,11,0,0,0
78,,55,1971,0,0.28091,11,0,0,0
79,,56,2037,0,0.23856,11,0,0,0
80,,57,2602,0,0.18265,11,0,0,0
81,,57,2796,0,0.42884,11,0,0,0
82,,58,2019,0,0.38037,11,0,0,0
83,,58,2083,0,0.40318,11,0,0,0
84,,58,2275,0,0.56071,11,0,0,0
85,,59,2870,0,0.42975,11,0,0,0
86,,59,3238,0,0.58155,11,0,0,0
87,,60,3295,0,0.26594,11,0,0,0
88,,61,3722,0,0.31749,11,0,0,0
89,,62,3011,0,0.36268,11,0,0,0
90,,62,3074,0,0.24323,11,0,0,0
91,,63,3249,0,0.34284,11,0,0,0
92,,63,3556,0,0.45266,11,0,0,0
93,,63,3665,0,0.40862,11,0,0,0
94,,64,3644,0,0.79,11,0,0,0
95,,64,3875,0,0.40414,11,0,0,0
95,,64,4290,0,0.52664,11,0,0,0
96,,65,3353,0,0.29158,11,0,0,0
97,,66,3487,0,0.46724,11,0,0,0
98,,66,3603,0,0.36113,11,0,0,0
99,,66,3876,0,0.27795,11,0,0,0
100,,67,3874,0,0.20762,11,0,0,0
101,,67,4058,0,0.56071,11,0,0,0
102,,68,4193,0,0.25056,11,0,0,0
103,,68,4391,0,0.35457,11,0,0,0
105,,69,5246,0,0.43512,11,0,0,0
106,,70,1672,0,0.36375,11,0,0,0
107,,70,1699,0,0.23545,11,0,0,0
108,,71,5378,0,0.48187,11,0,0,0
109,,72,5107,0,0.75949,11,0,0,0
110,,73,4575,0,0.30646,11,0,0,0
111,,74,3361,0,0.47184,11,0,0,0
114,,75,3016,0,1.3299,11,0,0,0
114,,75,3950,0,1.03927,11,0,0,0
115,,76,2441,0,0.27354,11,0,0,0
116,,77,1824,0,0.48156,11,0,0,0
117,,77,1978,0,0.37235,11,0,0,0
118,,78,1992,0,0.31294,11,0,0,0
119,,79,1293,0,0.6832,11,0,0,0
120,,80,1254,0,0.60138,11,0,0,0
121,,81,1588,0,0.91264,11,0,0,0
122,,81,1634,0,0.67394,11,0,0,0
123,,82,1337,0,0.65006,11,0,0,0
124,,83,2727,0,0.40104,11,0,0,0
125,,84,1142,0,0.91418,11,0,0,0
126,,85,1119,0,0.30061,11,0,0,0
127,,86,1117,0,0.98622,11,0,0,0
128,,87,2577,0,0.05613,11,0,0,0
129,,88,3637,0,0.05425,11,0,0,0
130,,88,3676,0,0.0594,11,0,0,0
131,,89,3559,0,0.05975,11,0,0,0
132,,90,3529,0,0.16459,11,0,0,0
133,,90,3618,0,0.23725,11,0,0,0
134,,90,3712,0,0.12953,11,0,0,0
135,,91,3688,0,0.08733,11,0,0,0
136,,92,3420,0,0.30989,11,0,0,0
137,,92,3530,0,0.24979,11,0,0,0
138,,93,3264,0,0.07384,11,0,0,0
139,,93,3430,0,0.07384,11,0,0,0
140,,94,3038,0,0.04815,11,0,0,0
141,,94,3083,0,0.07384,11,0,0,0
142,,95,2684,0,0.36298,11,0,0,0
143,,95,2819,0,0.14292,11,0,0,0
144,,96,2421,0,0.26912,11,0,0,0
145,,96,2509,0,0.371,11,0,0,0
146,,96,2519,0,0.15225,11,0,0,0
147,,96,2661,0,0.47128,11,0,0,0
148,,97,5692,0,0.24778,11,0,0,0
149,,98,2451,0,0.20625,11,0,0,0
150,,99,2642,0,0.23344,11,0,0,0
151,,99,2656,0,0.24157,11,0,0,0
152,,100,2643,0,0.32265,11,0,0,0
153,,100,2745,0,0.346,11,0,0,0
154,,100,2782,0,0.30485,11,0,0,0
155,,101,3126,0,0.13229,11,0,0,0
156,,102,3283,0,0.03918,11,0,0,0
157,,103,3377,0,0.19017,11,0,0,0
158,,104,2716,0,0.08199,11,0,0,0
159,,105,2934,0,0.39811,11,0,0,0
160,,106,3446,0,0.28454,11,0,0,0
160,,106,5668,0,0.12448,11,0,0,0
161,,107,3631,0,0.27761,11,0,0,0
161,,107,5667,0,0.10327,11,0,0,0
162,,108,3774,0,0.20932,11,0,0,0
163,,108,4013,0,0.19059,11,0,0,0
164,,109,3660,0,0.69962,11,0,0,0
165,,109,4182,0,0.29954,11,0,0,0
