name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
4227226,100001,100001,-79.93926,37.27179,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.93926 37.27179),1,,
4227227,100002,100002,-79.940582,37.271243,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.940582 37.271243),0,,
4227228,100003,100003,-79.940657,37.269161,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.940657 37.269161),0,,
4227229,100004,100004,-79.941055,37.265962,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.941055 37.265962),0,,
4227231,100005,100005,-79.94216,37.256187,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.94216 37.256187),0,,
4235767,100006,100006,-79.943068,37.251808,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.943068 37.251808),0,,
4235768,100007,100007,-79.943233,37.256161,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.943233 37.256161),0,,
4235769,100008,100008,-79.940977,37.265781,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.940977 37.265781),0,,
4235770,100009,100009,-79.940632,37.268357,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.940632 37.268357),0,,
4235771,100010,100010,-79.940551,37.269959,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.940551 37.269959),0,,
4235772,100011,100011,-79.939109,37.270458,3,3894,stop,,,,Valley Metro Roanoke,POINT (-79.939109 37.270458),0,,
4235980,100012,100012,-79.94303,37.257185,3,4037,stop,,,,Valley Metro Roanoke,POINT (-79.94303 37.257185),1,,
4238977,100013,100013,-79.96927,37.320702,3,3913,stop,,,,Valley Metro Roanoke,POINT (-79.96927 37.320702),0,,
4239395,100014,100014,-80.055211,37.316316,3,3913,stop,,,,Valley Metro Roanoke,POINT (-80.055211 37.316316),0,,
4239462,100015,100015,-80.371633,37.133394,3,3913,stop,,,,Valley Metro Roanoke,POINT (-80.371633 37.133394),0,,
