link_id,AAWDT,mpo_vol_am,mpo_vol_md,mpo_vol_pm,mpo_vol_nt,mpo_vol_total
1,0,641,946,653,304,2544
2,0,147,216,148,64,575
3,0,421,1002,1004,446,2873
4,0,886,1161,818,378,3243
5,0,239,417,310,132,1098
6,0,596,921,740,329,2586
7,0,321,448,338,147,1254
8,0,88,151,126,49,414
9,0,625,844,567,263,2299
10,0,98,172,108,57,435
11,0,326,359,266,106,1057
12,0,802,1033,701,317,2853
13,0,425,910,828,355,2518
14,0,415,609,463,201,1688
15,0,35,120,84,46,285
16,0,383,775,694,300,2152
17,0,24,121,66,51,262
18,0,521,817,728,319,2385
19,0,229,320,255,118,922
20,0,7,63,18,25,113
20,0,232,324,247,97,900
21,0,343,502,365,167,1377
22,0,47,65,52,21,185
23,0,299,391,343,133,1166
24,0,10,92,26,36,164
25,0,261,402,323,149,1135
26,0,196,338,296,127,957
27,0,70,154,101,55,380
27,0,311,454,332,150,1247
28,0,235,544,522,214,1515
29,0,192,583,536,231,1542
30,0,392,779,645,274,2090
31,0,24,66,49,24,163
32,0,260,438,344,146,1188
33,0,627,847,593,261,2328
34,0,301,422,361,156,1240
35,0,160,317,219,100,796
36,0,723,1404,1223,516,3866
37,0,609,1102,900,393,3004
38,0,544,1092,879,397,2912
39,0,622,978,793,329,2722
40,0,192,55,387,19,653
41,0,545,1095,475,371,2486
42,0,500,638,441,193,1772
43,0,346,538,425,191,1500
44,0,523,762,562,246,2093
45,0,38,56,38,16,148
46,0,493,656,453,203,1805
48,0,234,784,627,319,1964
49,0,1228,2199,2023,846,6296
50,0,350,1050,1125,451,2976
51,0,362,1230,1134,493,3219
52,0,1385,2563,2109,948,7005
53,0,1828,2926,2280,1024,8058
54,0,456,990,906,369,2721
55,0,717,1516,1302,606,4141
56,0,179,404,334,144,1061
57,0,248,489,407,207,1351
58,0,304,567,463,177,1511
59,0,502,885,673,296,2356
61,0,487,786,613,290,2176
62,0,1122,1948,1513,727,5310
63,0,262,372,286,118,1038
64,0,908,1281,952,418,3559
66,0,752,1352,1047,500,3651
67,0,35,95,83,37,250
65,0,863,1518,1290,546,4217
68,0,798,1175,827,369,3169
69,0,291,485,376,160,1312
70,0,114,382,405,177,1078
71,0,221,561,644,223,1649
72,0,3,8,8,4,23
73,0,902,1296,976,452,3626
74,0,348,499,368,160,1375
75,0,631,806,560,249,2246
76,0,348,519,370,161,1398
77,0,419,616,460,196,1691
78,0,531,772,578,247,2128
79,0,616,1042,1012,381,3051
80,0,8,13,14,5,40
81,0,796,1584,1488,610,4478
82,0,173,288,273,98,832
83,0,96,277,200,110,683
84,0,954,1565,1463,561,4543
85,0,638,1043,912,401,2994
86,0,475,996,811,377,2659
87,0,556,2129,2649,1159,6493
88,0,62,140,97,50,349
89,0,304,607,622,240,1773
