id,from_node_id,to_node_id,transit_type,dir_flag,directed_route_id,link_type,name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id
100001,150030,150012,bus,1,3894.2,1,transit_service_links,0.19582195337264072,1,0,5.871722739809317,0,2,0,0.15,4,0,"LINESTRING (-79.94552 37.249753, -79.943068 37.251808)",t,Valley Metro Roanoke,0,3894.2:0;1;2;3;4;5;6;7;8
100002,150012,150014,bus,1,3894.2,1,transit_service_links,0.30090084545905493,1,0,9.022514106718289,0,2,0,0.15,4,0,"LINESTRING (-79.943068 37.251808, -79.943233 37.256161)",t,Valley Metro Roanoke,1,3894.2:0;1;2;3;4;5;6;7;8
100003,150014,150026,bus,1,3894.2,1,transit_service_links,0.3184869856888801,1,0,19.09012901232049,0,1,0,0.15,4,0,"LINESTRING (-79.943233 37.256161, -79.941436 37.260543)",t,Valley Metro Roanoke,2,3894.2:0;1;2;3;4;5;6;7;8
100004,150026,150016,bus,1,3894.2,1,transit_service_links,0.362790787263883,1,0,21.745701534298682,0,1,0,0.15,4,0,"LINESTRING (-79.941436 37.260543, -79.940977 37.265781)",t,Valley Metro Roanoke,3,3894.2:0;1;2;3;4;5;6;7;8
100005,150016,150018,bus,1,3894.2,1,transit_service_links,0.17899294352196773,1,0,5.367104753282391,0,2,0,0.15,4,0,"LINESTRING (-79.940977 37.265781, -79.940632 37.268357)",t,Valley Metro Roanoke,4,3894.2:0;1;2;3;4;5;6;7;8
100006,150018,150020,bus,1,3894.2,1,transit_service_links,0.1107773470524029,1,0,6.640000822321853,0,1,0,0.15,4,0,"LINESTRING (-79.940632 37.268357, -79.940551 37.269959)",t,Valley Metro Roanoke,5,3894.2:0;1;2;3;4;5;6;7;8
100007,150020,150022,bus,1,3894.2,1,transit_service_links,0.08645855334492493,1,0,1.7285948686089625,0,3,0,0.15,4,0,"LINESTRING (-79.940551 37.269959, -79.939109 37.270458)",t,Valley Metro Roanoke,6,3894.2:0;1;2;3;4;5;6;7;8
100008,150022,150001,bus,1,3894.2,1,transit_service_links,0.09240626880868871,1,0,1.847509539660554,0,3,0,0.15,4,0,"LINESTRING (-79.939109 37.270458, -79.93926 37.27179)",t,Valley Metro Roanoke,7,3894.2:0;1;2;3;4;5;6;7;8
100009,150002,150028,bus,1,3894.2,1,transit_service_links,0.351408930300894,1,0,21.063472345707932,0,1,0,0.15,4,0,"LINESTRING (-79.93926 37.27179, -79.945623 37.272268)",t,Valley Metro Roanoke,0,3894.2:0;1;2;3;4;5;6;7;8;9
100010,150028,150004,bus,1,3894.2,1,transit_service_links,0.2860725619404435,1,0,8.577887914256179,0,2,0,0.15,4,0,"LINESTRING (-79.945623 37.272268, -79.940582 37.271243)",t,Valley Metro Roanoke,1,3894.2:0;1;2;3;4;5;6;7;8;9
100011,150004,150006,bus,1,3894.2,1,transit_service_links,0.14391175400046866,1,0,4.315195022502809,0,2,0,0.15,4,0,"LINESTRING (-79.940582 37.271243, -79.940657 37.269161)",t,Valley Metro Roanoke,2,3894.2:0;1;2;3;4;5;6;7;8;9
100012,150006,150008,bus,1,3894.2,1,transit_service_links,0.22211084123992436,1,0,13.313337137258205,0,1,0,0.15,4,0,"LINESTRING (-79.940657 37.269161, -79.941055 37.265962)",t,Valley Metro Roanoke,3,3894.2:0;1;2;3;4;5;6;7;8;9
100013,150008,150035,bus,1,3894.2,1,transit_service_links,0.17681836061011444,1,0,5.301899868369249,0,2,0,0.15,4,0,"LINESTRING (-79.941055 37.265962, -79.941404 37.263418)",t,Valley Metro Roanoke,4,3894.2:0;1;2;3;4;5;6;7;8;9
100014,150035,150024,bus,1,3894.2,1,transit_service_links,0.19816584515694,1,0,5.942004352531934,0,2,0,0.15,4,0,"LINESTRING (-79.941404 37.263418, -79.941503 37.260551)",t,Valley Metro Roanoke,5,3894.2:0;1;2;3;4;5;6;7;8;9
100015,150024,150010,bus,1,3894.2,1,transit_service_links,0.30368093792199313,1,0,3.643442566550607,0,5,0,0.15,4,0,"LINESTRING (-79.941503 37.260551, -79.94216 37.256187)",t,Valley Metro Roanoke,6,3894.2:0;1;2;3;4;5;6;7;8;9
100016,150010,150031,bus,1,3894.2,1,transit_service_links,0.48142402015423447,1,0,9.625271979091659,0,3,0,0.15,4,0,"LINESTRING (-79.94216 37.256187, -79.94552 37.249753)",t,Valley Metro Roanoke,7,3894.2:0;1;2;3;4;5;6;7;8;9
100017,150031,150033,bus,1,3894.2,1,transit_service_links,0.06519714936012833,1,0,1.954937012297701,0,2,0,0.15,4,0,"LINESTRING (-79.94552 37.249753, -79.944633 37.249127)",t,Valley Metro Roanoke,8,3894.2:0;1;2;3;4;5;6;7;8;9
100018,150003,150029,bus,1,3894.2,1,transit_service_links,0.351408930300894,1,0,10.536999409322158,0,2,0,0.15,4,0,"LINESTRING (-79.93926 37.27179, -79.945623 37.272268)",t,Valley Metro Roanoke,0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100019,150029,150005,bus,1,3894.2,1,transit_service_links,0.2860725619404435,1,0,5.719544723900903,0,3,0,0.15,4,0,"LINESTRING (-79.945623 37.272268, -79.940582 37.271243)",t,Valley Metro Roanoke,1,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100020,150005,150007,bus,1,3894.2,1,transit_service_links,0.14391175400046866,1,0,4.315195022502809,0,2,0,0.15,4,0,"LINESTRING (-79.940582 37.271243, -79.940657 37.269161)",t,Valley Metro Roanoke,2,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100021,150007,150009,bus,1,3894.2,1,transit_service_links,0.22211084123992436,1,0,4.4407365792720634,0,3,0,0.15,4,0,"LINESTRING (-79.940657 37.269161, -79.941055 37.265962)",t,Valley Metro Roanoke,3,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100022,150009,150036,bus,1,3894.2,1,transit_service_links,0.17681836061011444,1,0,5.301899868369249,0,2,0,0.15,4,0,"LINESTRING (-79.941055 37.265962, -79.941404 37.263418)",t,Valley Metro Roanoke,4,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100023,150036,150025,bus,1,3894.2,1,transit_service_links,0.19816584515694,1,0,3.961996237726225,0,3,0,0.15,4,0,"LINESTRING (-79.941404 37.263418, -79.941503 37.260551)",t,Valley Metro Roanoke,5,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100024,150025,150011,bus,1,3894.2,1,transit_service_links,0.30368093792199313,1,0,9.105875200059764,0,2,0,0.15,4,0,"LINESTRING (-79.941503 37.260551, -79.94216 37.256187)",t,Valley Metro Roanoke,6,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100025,150011,150034,bus,1,3894.2,1,transit_service_links,0.5064056934393681,1,0,15.184578513924082,0,2,0,0.15,4,0,"LINESTRING (-79.94216 37.256187, -79.944633 37.249127)",t,Valley Metro Roanoke,7,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100026,150034,150032,bus,1,3894.2,1,transit_service_links,0.06519714936012833,1,0,3.907921040567133,0,1,0,0.15,4,0,"LINESTRING (-79.944633 37.249127, -79.94552 37.249753)",t,Valley Metro Roanoke,8,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100027,150032,150013,bus,1,3894.2,1,transit_service_links,0.19582195337264072,1,0,3.915134022778555,0,3,0,0.15,4,0,"LINESTRING (-79.94552 37.249753, -79.943068 37.251808)",t,Valley Metro Roanoke,9,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100028,150013,150015,bus,1,3894.2,1,transit_service_links,0.30090084545905493,1,0,6.016011571990435,0,3,0,0.15,4,0,"LINESTRING (-79.943068 37.251808, -79.943233 37.256161)",t,Valley Metro Roanoke,10,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100029,150015,150027,bus,1,3894.2,1,transit_service_links,0.3184869856888801,1,0,4.7761107576437904,0,4,0,0.15,4,0,"LINESTRING (-79.943233 37.256161, -79.941436 37.260543)",t,Valley Metro Roanoke,11,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100030,150027,150017,bus,1,3894.2,1,transit_service_links,0.362790787263883,1,0,21.745701534298682,0,1,0,0.15,4,0,"LINESTRING (-79.941436 37.260543, -79.940977 37.265781)",t,Valley Metro Roanoke,12,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100031,150017,150019,bus,1,3894.2,1,transit_service_links,0.17899294352196773,1,0,10.72884776355451,0,1,0,0.15,4,0,"LINESTRING (-79.940977 37.265781, -79.940632 37.268357)",t,Valley Metro Roanoke,13,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100032,150019,150021,bus,1,3894.2,1,transit_service_links,0.1107773470524029,1,0,6.640000822321853,0,1,0,0.15,4,0,"LINESTRING (-79.940632 37.268357, -79.940551 37.269959)",t,Valley Metro Roanoke,14,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100033,150021,150023,bus,1,3894.2,1,transit_service_links,0.08645855334492493,1,0,5.1823308698256705,0,1,0,0.15,4,0,"LINESTRING (-79.940551 37.269959, -79.939109 37.270458)",t,Valley Metro Roanoke,15,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100034,150023,150003,bus,1,3894.2,1,transit_service_links,0.09240626880868871,1,0,5.5388372912300925,0,1,0,0.15,4,0,"LINESTRING (-79.939109 37.270458, -79.93926 37.27179)",t,Valley Metro Roanoke,16,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
100035,150063,150044,bus,1,3913.1,1,transit_service_links,7.412068496791943,1,0,29.646297567329952,0,15,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",t,Valley Metro Roanoke,0,3913.1:0;1;2;3
100036,150044,150056,bus,1,3913.1,1,transit_service_links,25.619712988932456,1,0,43.91825317379354,0,35,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -79.940434 37.273161)",t,Valley Metro Roanoke,1,3913.1:0;1;2;3
