link_id,from_node_id,to_node_id,facility_type,directed,directed_route_id,link_type,facility_type,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id,link_type_name,from_biway,is_link
100001,1500030,1500012,bus,1,3894.2,1,service_links,0.19582195337264072,1,0,5.874609646098837,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.94552 37.249753, -79.943068 37.251808)",t,Valley Metro Roanoke,0.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100002,1500012,1500014,bus,1,3894.2,1,service_links,0.30090084545905493,1,0,9.026950139187155,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.943068 37.251808, -79.943233 37.256161)",t,Valley Metro Roanoke,1.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100003,1500014,1500026,bus,1,3894.2,1,service_links,0.3184869856888801,1,0,19.108900659655145,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.943233 37.256161, -79.941436 37.260543)",t,Valley Metro Roanoke,2.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100004,1500026,1500016,bus,1,3894.2,1,service_links,0.362790787263883,1,0,21.767084451092128,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941436 37.260543, -79.940977 37.265781)",t,Valley Metro Roanoke,3.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100005,1500016,1500018,bus,1,3894.2,1,service_links,0.17899294352196773,1,0,5.36974355779605,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940977 37.265781, -79.940632 37.268357)",t,Valley Metro Roanoke,4.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100006,1500018,1500020,bus,1,3894.2,1,service_links,0.1107773470524029,1,0,6.64653004764338,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940632 37.268357, -79.940551 37.269959)",t,Valley Metro Roanoke,5.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100007,1500020,1500022,bus,1,3894.2,1,service_links,0.08645855334492493,1,0,1.7291614604459404,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940551 37.269959, -79.939109 37.270458)",t,Valley Metro Roanoke,6.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100008,1500022,1500001,bus,1,3894.2,1,service_links,0.09240626880868871,1,0,1.8481151088676138,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.939109 37.270458, -79.93926 37.27179)",t,Valley Metro Roanoke,7.0,3894.2:0;1;2;3;4;5;6;7;8,,,
100009,1500002,1500028,bus,1,3894.2,1,service_links,0.351408930300894,1,0,21.084184414980058,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.93926 37.27179, -79.945623 37.272268)",t,Valley Metro Roanoke,0.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100010,1500028,1500004,bus,1,3894.2,1,service_links,0.2860725619404435,1,0,8.582105340668798,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.945623 37.272268, -79.940582 37.271243)",t,Valley Metro Roanoke,1.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100011,1500004,1500006,bus,1,3894.2,1,service_links,0.14391175400046866,1,0,4.317316642375373,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940582 37.271243, -79.940657 37.269161)",t,Valley Metro Roanoke,2.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100012,1500006,1500008,bus,1,3894.2,1,service_links,0.22211084123992436,1,0,13.326428367256009,0.0,0 days 00:01:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940657 37.269161, -79.941055 37.265962)",t,Valley Metro Roanoke,3.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100013,1500008,1500035,bus,1,3894.2,1,service_links,0.17681836061011444,1,0,5.3045066140816495,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941055 37.265962, -79.941404 37.263418)",t,Valley Metro Roanoke,4.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100014,1500035,1500024,bus,1,3894.2,1,service_links,0.19816584515694,1,0,5.9449258136597525,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941404 37.263418, -79.941503 37.260551)",t,Valley Metro Roanoke,5.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100015,1500024,1500010,bus,1,3894.2,1,service_links,0.30368093792199313,1,0,3.644159107866891,0.0,0 days 00:05:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941503 37.260551, -79.94216 37.256187)",t,Valley Metro Roanoke,6.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100016,1500010,1500031,bus,1,3894.2,1,service_links,0.48142402015423447,1,0,9.628426911824068,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.94216 37.256187, -79.94552 37.249753)",t,Valley Metro Roanoke,7.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100017,1500031,1500033,bus,1,3894.2,1,service_links,0.06519714936012833,1,0,1.9558981816523358,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.94552 37.249753, -79.944633 37.249127)",t,Valley Metro Roanoke,8.0,3894.2:0;1;2;3;4;5;6;7;8;9,,,
100018,1500003,1500029,bus,1,3894.2,1,service_links,0.351408930300894,1,0,10.54218005752634,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.93926 37.27179, -79.945623 37.272268)",t,Valley Metro Roanoke,0.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100019,1500029,1500005,bus,1,3894.2,1,service_links,0.2860725619404435,1,0,5.721419453145241,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.945623 37.272268, -79.940582 37.271243)",t,Valley Metro Roanoke,1.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100020,1500005,1500007,bus,1,3894.2,1,service_links,0.14391175400046866,1,0,4.317316642375373,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940582 37.271243, -79.940657 37.269161)",t,Valley Metro Roanoke,2.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100021,1500007,1500009,bus,1,3894.2,1,service_links,0.22211084123992436,1,0,4.442192145953231,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.940657 37.269161, -79.941055 37.265962)",t,Valley Metro Roanoke,3.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100022,1500009,1500036,bus,1,3894.2,1,service_links,0.17681836061011444,1,0,5.3045066140816495,0.0,0 days 00:02:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941055 37.265962, -79.941404 37.263418)",t,Valley Metro Roanoke,4.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
100023,1500036,1500025,bus,1,3894.2,1,service_links,0.19816584515694,1,0,3.963294884833884,0.0,0 days 00:03:00,0.0,0.15,4.0,0.0,"LINESTRING (-79.941404 37.263418, -79.941503 37.260551)",t,Valley Metro Roanoke,5.0,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,,,
