,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,197,198,199,200,201,202,203,204,205,206
1,0.00,6.97,60.59,54.30,45.30,48.68,60.46,66.43,63.34,54.38,53.25,61.21,68.76,79.53,80.10,91.52,61.08,98.37,117.10,126.13,24.68,21.13,16.89,18.73,21.17,13.90,15.61,22.98,35.70,27.84,10.89,12.44,41.17,52.48,41.03,59.24,51.85,49.13,53.87,59.77,54.78,52.68,56.50,64.47,61.24,65.44,68.31,87.18,86.60,89.45,91.71,85.04,84.58,76.06,61.34,65.28,57.89,61.31,59.57,56.80,57.58,56.14,51.42,53.78,50.56,46.75,46.12,48.53,41.94,63.18,31.79,37.20,53.31,64.59,67.66,61.26,68.77,74.87,86.53,90.53,73.67,84.03,82.38,95.61,100.74,113.97,63.95,34.30,34.11,33.15,34.96,35.64,34.20,37.12,39.99,44.21,51.40,49.81,45.01,41.91,38.59,39.76,39.14,46.43,46.86,40.36,40.05,37.13,41.69,38.41,33.14,33.86,31.40,26.24,26.61,27.45,30.09,33.23,31.68,29.58,25.31,22.65,29.62,32.77,38.14,36.43,37.58,34.73,33.72,35.79,37.33,36.93,35.45,42.21,40.26,40.98,42.54,43.76,47.36,47.01,44.70,50.16,50.57,52.53,44.88,40.63,40.62,43.70,51.82,58.96,54.26,52.75,53.04,56.41,55.69,58.24,54.92,55.10,51.59,49.54,40.26,29.70,25.11,52.57,46.46,51.12,67.29,71.22,68.52,65.58,65.61,65.17,59.93,58.10,59.33,56.62,59.35,63.81,62.00,65.89,64.83,68.99,69.49,70.68,74.85,58.02,68.59,77.16,79.71,83.30,79.87,73.63,66.71,73.67,71.17,33.34,31.93,32.84,32.98,32.36,32.13,67.41,67.88,35.32,37.73
2,6.97,0.00,62.07,55.78,46.78,50.16,61.94,67.91,64.82,55.86,54.73,62.69,70.24,81.00,81.58,93.00,62.56,99.85,118.58,127.60,26.15,22.61,18.37,20.21,22.65,15.38,17.09,24.45,37.18,29.32,12.37,13.92,42.65,53.96,42.51,60.72,53.33,50.61,55.35,61.24,56.26,54.16,57.98,65.94,62.72,66.92,69.79,88.66,88.08,90.93,93.19,86.52,86.06,77.53,62.82,66.76,59.37,62.79,61.05,58.28,59.06,57.62,52.90,55.25,52.04,48.23,47.60,50.01,43.42,64.65,33.27,38.68,54.78,66.06,69.14,62.74,70.24,76.35,88.01,92.01,75.15,85.51,83.86,97.08,102.22,115.45,65.43,35.78,35.59,34.63,36.44,37.12,35.67,38.60,41.47,45.69,52.88,51.29,46.49,43.39,40.07,41.24,40.62,47.91,48.34,41.83,41.53,38.61,43.16,39.89,34.61,35.34,32.88,27.72,28.09,28.93,31.56,34.71,33.16,31.06,26.79,24.13,31.10,34.25,39.62,37.91,39.06,36.21,35.20,37.27,38.81,38.41,36.93,43.69,41.74,42.46,44.02,45.24,48.84,48.49,46.18,51.64,52.05,54.01,46.36,42.11,42.10,45.18,53.30,60.43,55.74,54.23,54.52,57.89,57.17,59.72,56.40,56.57,53.07,51.02,41.73,31.17,26.59,54.05,47.94,52.60,68.77,72.70,70.00,67.06,67.08,66.64,61.41,59.58,60.81,58.10,60.83,65.29,63.48,67.37,66.31,70.47,70.97,72.16,76.33,59.50,70.07,78.64,81.19,84.78,81.35,75.11,68.19,75.15,72.65,34.82,33.41,34.32,34.46,33.84,33.61,68.89,69.36,36.80,39.21
3,60.35,61.83,0.00,10.68,30.27,33.65,38.82,44.79,33.62,32.06,9.63,17.97,15.17,25.94,26.54,37.93,17.85,44.79,100.91,109.93,38.52,40.84,46.93,41.64,45.46,46.45,49.44,46.09,28.52,52.13,52.33,53.19,54.28,65.59,54.15,68.13,60.74,58.02,62.02,68.65,61.75,58.81,61.45,71.44,64.91,66.07,65.00,70.99,70.41,73.26,75.52,68.85,68.39,50.05,37.01,33.68,22.02,32.27,19.10,16.33,11.41,17.41,17.17,10.73,22.14,19.51,19.86,15.56,22.96,58.23,56.07,30.76,66.42,74.87,80.77,70.14,75.74,83.76,93.51,97.51,76.96,84.66,93.22,79.41,84.55,97.78,23.48,38.79,40.22,42.90,44.88,43.61,41.49,42.00,44.85,49.38,56.57,56.79,51.45,47.08,45.56,48.65,48.02,54.58,55.74,50.00,49.96,46.89,54.80,51.52,46.25,46.15,43.69,42.34,39.49,38.22,42.37,37.05,35.50,33.24,38.86,40.20,34.78,29.20,26.82,28.65,31.68,33.14,32.49,37.93,38.72,35.03,35.11,36.81,37.37,41.04,41.69,38.99,33.97,38.02,42.91,44.89,42.11,39.41,27.81,32.92,26.90,24.39,56.99,62.03,53.25,51.36,48.44,44.18,40.70,36.04,35.44,31.41,27.68,28.16,25.04,38.45,37.59,62.85,55.35,33.79,51.10,61.20,52.33,49.39,51.64,48.81,40.70,42.43,48.48,48.95,55.14,53.05,48.04,52.21,56.64,58.11,54.57,54.49,58.66,56.63,48.33,60.97,63.52,67.11,63.68,60.95,60.84,55.21,43.64,40.63,39.88,40.44,40.16,41.14,41.89,51.49,51.69,41.31,41.35
4,54.06,55.54,10.68,0.00,23.97,27.36,39.08,45.05,33.88,32.31,3.34,18.23,20.96,31.73,32.33,43.72,18.10,50.58,105.42,114.45,36.08,38.33,42.38,35.35,39.17,40.16,43.15,41.83,22.22,45.84,46.04,46.90,51.85,63.16,51.72,66.01,58.62,55.90,59.90,66.53,59.64,56.70,59.55,69.32,64.29,68.49,69.51,75.51,74.93,77.77,80.04,73.36,72.90,54.56,41.52,38.19,26.54,36.78,23.61,20.84,15.92,21.92,17.56,11.12,24.11,19.90,20.25,13.45,16.67,62.74,49.78,24.47,63.99,72.75,78.34,68.02,73.62,81.64,91.39,95.39,78.52,87.08,91.10,83.93,89.06,102.29,27.99,36.67,38.10,40.79,42.76,41.49,39.37,39.89,42.74,47.27,54.45,54.67,49.33,44.97,43.45,46.53,45.91,52.46,53.63,47.89,47.85,44.77,52.37,49.09,43.82,43.72,41.26,39.91,37.05,35.79,39.94,34.93,33.39,30.80,34.67,33.91,32.35,26.77,24.70,26.53,29.56,31.03,30.37,35.82,36.60,32.92,32.99,34.69,35.25,38.92,39.57,38.33,34.76,38.81,42.54,46.18,42.90,40.20,26.91,30.80,24.78,22.28,54.87,62.01,56.95,55.06,51.24,48.68,45.21,40.56,39.95,35.92,31.93,29.90,22.60,32.16,31.29,60.74,53.23,33.75,55.62,65.71,56.85,53.91,56.15,53.33,45.22,46.95,53.00,52.65,59.66,57.57,52.55,56.73,61.15,62.62,59.09,59.00,63.17,60.33,52.84,65.49,68.03,71.62,68.19,65.47,65.36,59.72,48.16,38.51,37.77,38.32,38.04,39.03,39.77,56.01,56.21,39.19,39.23
5,45.26,46.74,29.99,23.70,0.00,18.46,21.07,27.04,23.95,14.98,22.65,30.61,38.16,48.93,46.77,60.92,30.49,67.77,117.02,126.04,27.67,29.53,33.58,26.55,30.37,31.36,34.35,33.04,13.42,37.04,37.24,38.10,49.14,60.45,49.00,65.04,57.65,54.93,59.67,65.56,60.08,57.99,61.13,69.77,65.87,70.07,72.94,87.10,86.52,89.36,91.63,84.95,84.49,75.97,61.26,61.90,50.24,60.48,47.31,44.54,39.63,45.63,41.26,34.82,47.81,43.60,43.95,37.15,11.35,67.81,40.98,15.67,61.27,71.19,75.63,67.05,74.07,80.67,91.84,95.84,78.97,88.66,90.13,95.52,100.66,113.88,51.70,35.88,37.59,39.23,41.20,40.94,38.83,41.75,44.62,48.84,56.03,55.12,50.32,46.54,43.89,45.56,44.94,52.23,52.66,46.60,46.29,43.21,49.65,46.38,41.10,41.01,38.54,36.30,31.47,33.08,37.23,33.14,31.60,29.50,25.87,25.11,28.30,31.94,37.31,35.60,37.50,34.65,33.64,35.70,37.25,36.85,35.36,42.12,40.17,41.81,42.46,43.67,47.28,46.92,45.43,51.25,50.48,52.45,44.32,40.55,39.79,42.87,56.45,63.59,58.89,57.38,54.13,56.32,55.61,58.16,54.84,55.01,51.03,48.99,39.43,23.36,22.49,59.18,52.26,51.04,67.21,74.97,68.44,65.50,65.52,65.08,59.85,58.01,60.42,57.71,63.98,65.29,61.92,66.09,68.70,71.99,69.41,70.59,74.77,62.65,68.50,77.08,79.63,83.21,79.78,75.98,71.34,73.59,71.08,37.97,36.21,36.77,36.48,37.47,38.21,67.33,67.80,38.77,41.63
6,49.55,51.03,34.29,28.00,10.06,0.00,22.86,28.84,25.75,19.14,26.95,34.91,42.46,53.22,50.92,65.22,34.78,72.07,121.31,130.34,31.96,33.82,37.88,30.84,34.66,35.65,38.65,37.33,17.72,41.33,41.53,42.40,53.43,64.74,53.30,69.34,61.95,59.23,63.97,69.86,64.38,62.28,65.43,74.06,70.17,74.36,77.24,91.39,90.82,93.66,95.93,89.25,88.79,80.27,65.56,66.19,54.54,64.78,51.61,48.84,43.92,49.92,45.56,39.12,52.10,47.90,48.24,41.44,15.64,72.10,45.28,19.97,65.57,75.49,79.92,71.35,78.36,84.97,96.13,100.13,83.27,92.95,94.43,99.82,104.95,118.18,55.99,40.17,41.89,43.53,45.50,45.24,43.12,46.05,48.91,53.14,60.32,59.41,54.61,50.84,48.19,49.86,49.23,56.53,56.95,50.89,50.59,47.51,53.95,50.67,45.40,45.30,42.84,40.59,35.77,37.37,41.52,37.44,35.89,33.79,30.16,29.40,32.60,36.24,41.61,39.90,41.79,38.95,37.93,40.00,41.54,41.15,39.66,46.42,44.47,46.10,46.75,47.97,51.57,51.22,49.72,55.55,54.78,56.74,48.62,44.85,44.09,47.17,60.74,67.88,63.19,61.68,58.43,60.62,59.91,62.45,59.13,59.31,55.33,53.28,43.73,27.66,26.79,63.47,56.56,55.33,71.51,79.27,72.73,69.80,69.82,69.38,64.14,62.31,64.71,62.00,68.28,69.59,66.21,70.39,72.99,76.28,73.70,74.89,79.06,66.95,72.80,81.37,83.92,87.51,84.08,80.28,75.63,77.89,75.38,42.26,40.51,41.07,40.78,41.77,42.51,71.62,72.09,43.07,45.93
7,60.52,62.00,38.82,38.96,21.03,22.97,0.00,8.22,7.39,18.23,37.91,26.41,38.92,49.69,40.55,61.68,25.09,63.40,132.28,141.30,42.93,44.79,48.84,41.81,45.63,46.62,49.61,48.29,28.68,52.30,52.50,53.36,64.40,75.70,64.26,80.30,72.91,70.19,74.93,80.82,75.34,73.25,76.39,85.03,81.13,85.33,88.20,102.36,101.78,104.62,106.89,100.21,99.75,87.66,74.62,71.29,59.64,69.88,56.71,53.94,49.02,55.02,51.94,45.50,58.49,54.28,54.63,47.83,26.61,83.07,56.24,30.93,76.53,86.45,90.89,82.31,89.33,95.93,107.10,111.10,94.23,103.92,105.39,110.78,115.92,129.14,61.09,51.14,52.85,54.49,56.46,56.20,54.09,57.01,59.88,64.10,71.29,70.38,65.58,61.80,59.15,60.82,60.20,67.49,67.92,61.86,61.55,58.47,64.91,61.64,56.36,56.27,53.80,51.56,46.73,48.34,52.49,48.40,46.86,44.76,41.13,40.37,43.56,47.20,52.57,50.86,52.76,49.91,48.90,50.96,52.51,52.11,50.62,57.38,55.43,57.07,57.72,58.93,62.54,62.18,60.69,66.51,65.74,67.71,59.58,55.81,55.05,56.66,71.71,78.85,74.15,72.64,69.39,71.58,70.87,73.42,70.10,69.02,65.29,64.25,54.69,38.62,37.75,74.44,67.52,66.30,82.47,90.23,83.70,80.76,80.78,80.34,75.11,73.27,75.68,72.97,79.24,80.55,77.18,81.35,83.96,87.25,84.67,85.85,90.03,77.91,83.76,92.34,94.89,98.47,95.04,91.24,86.60,88.85,81.25,53.23,51.47,52.03,51.74,52.73,53.47,82.59,83.06,54.03,56.89
8,66.37,67.85,44.67,44.81,26.88,28.82,8.23,0.00,13.24,24.08,43.76,32.26,44.77,55.54,46.40,67.53,30.94,69.25,138.13,147.15,48.78,50.64,54.69,47.66,51.48,52.47,55.46,54.14,34.53,58.15,58.35,59.21,70.25,81.55,70.11,86.15,78.76,76.04,80.78,86.67,81.19,79.10,82.24,90.88,86.98,91.18,94.05,108.21,107.63,110.47,112.74,106.06,105.60,93.51,80.47,77.14,65.49,75.73,62.56,59.79,54.87,60.87,57.79,51.35,64.34,60.13,60.48,53.68,32.46,88.92,62.09,36.78,82.38,92.30,96.74,88.16,95.18,101.78,112.95,116.95,100.08,109.77,111.24,116.63,121.77,134.99,66.94,56.99,58.70,60.34,62.31,62.05,59.94,62.86,65.73,69.95,77.14,76.23,71.43,67.65,65.00,66.67,66.05,73.34,73.77,67.71,67.40,64.32,70.76,67.49,62.21,62.12,59.65,57.41,52.58,54.19,58.34,54.25,52.71,50.61,46.98,46.22,49.41,53.05,58.42,56.71,58.61,55.76,54.75,56.81,58.36,57.96,56.47,63.23,61.28,62.92,63.57,64.78,68.39,68.03,66.54,72.36,71.59,73.56,65.43,61.66,60.90,62.51,77.56,84.70,80.00,78.49,75.24,77.43,76.72,79.27,75.95,74.87,71.14,70.10,60.54,44.47,43.60,80.29,73.37,72.15,88.32,96.08,89.55,86.61,86.63,86.19,80.96,79.12,81.53,78.82,85.09,86.40,83.03,87.20,89.81,93.10,90.52,91.70,95.88,83.76,89.61,98.19,100.74,104.32,100.89,97.09,92.45,94.70,87.10,59.08,57.32,57.88,57.59,58.58,59.32,88.44,88.91,59.88,62.74
9,58.89,60.37,33.62,33.88,19.40,28.14,7.56,13.53,0.00,13.03,32.83,21.20,33.72,44.48,35.35,56.48,19.89,58.20,130.65,139.68,41.30,43.16,47.22,40.18,44.00,44.99,47.99,46.67,27.06,50.67,50.87,51.74,62.77,74.08,62.64,78.67,71.29,68.56,73.31,79.20,73.72,71.62,74.77,83.40,79.50,83.70,86.58,100.73,100.16,103.00,105.27,98.59,98.13,82.46,69.42,66.09,54.43,64.68,51.51,48.74,43.82,49.82,46.74,40.30,53.29,49.08,49.43,42.63,24.98,81.44,54.62,29.31,74.91,84.83,89.26,80.69,87.70,94.31,105.47,109.47,92.61,102.29,103.77,109.16,114.29,127.52,55.89,49.51,51.23,52.87,54.84,54.58,52.46,55.39,58.25,62.48,69.66,68.75,63.95,60.18,57.53,59.20,58.57,65.87,66.29,60.23,59.93,56.85,63.29,60.01,54.74,54.64,52.18,49.93,45.11,46.71,50.86,46.78,45.23,43.13,39.50,38.74,41.93,45.58,50.95,49.24,51.13,48.29,47.27,49.34,50.88,50.48,49.00,55.76,53.81,55.44,56.09,57.31,60.91,60.56,59.06,64.89,64.12,66.08,56.09,54.19,53.43,51.46,70.08,77.22,72.53,71.02,67.76,69.96,69.24,68.45,67.85,63.82,60.09,59.09,51.79,37.00,36.13,72.81,65.89,62.93,80.85,88.61,82.07,79.13,79.16,78.72,73.11,71.65,74.05,71.34,77.62,78.93,75.55,79.73,82.33,85.62,83.04,84.23,88.40,76.29,80.74,90.71,93.26,96.85,93.42,89.61,84.97,87.22,76.05,51.60,49.85,50.41,50.12,51.11,51.85,80.96,81.43,52.41,55.27
10,54.35,55.82,32.06,32.32,14.86,27.54,18.23,24.20,13.03,0.00,31.27,19.64,32.15,42.92,33.79,54.92,18.32,56.64,126.10,135.13,36.76,38.62,42.67,35.63,39.45,40.44,43.44,42.12,22.51,46.12,46.32,47.19,58.22,69.53,58.09,74.13,66.74,64.02,68.76,74.65,69.17,67.07,70.22,78.86,74.96,79.16,82.03,96.18,95.61,98.45,100.72,94.04,93.58,80.89,67.86,64.53,52.87,63.11,49.94,47.17,42.26,48.26,45.18,38.74,51.72,47.52,47.86,41.06,20.43,76.89,50.07,24.76,70.36,80.28,84.72,76.14,83.16,89.76,100.92,104.92,88.06,97.74,99.22,104.61,109.74,122.97,54.33,44.97,46.68,48.32,50.29,50.03,47.91,50.84,53.71,57.93,65.12,64.20,59.40,55.63,52.98,54.65,54.02,61.32,61.74,55.68,55.38,52.30,58.74,55.47,50.19,50.09,47.63,45.38,40.56,42.16,46.32,42.23,40.68,38.59,34.96,34.19,37.39,41.03,46.40,44.69,46.58,43.74,42.72,44.79,46.33,45.94,44.45,51.21,49.26,50.89,51.54,52.76,56.37,56.01,54.51,60.34,59.57,61.53,53.41,49.64,48.88,49.89,65.53,72.67,67.98,66.47,63.22,65.41,64.70,66.89,63.92,62.26,58.53,57.52,48.52,32.45,31.58,68.27,61.35,60.12,76.30,84.06,77.53,74.59,74.61,74.17,68.93,67.10,69.50,66.79,73.07,74.38,71.00,75.18,77.78,81.08,78.49,79.68,83.85,71.74,77.59,86.17,88.71,92.30,88.87,85.07,80.42,82.68,74.49,47.05,45.30,45.86,45.57,46.56,47.30,76.41,76.88,47.86,50.72
11,53.01,54.49,9.63,3.34,22.93,26.31,38.03,44.00,32.83,31.27,0.00,17.18,19.91,30.68,31.29,42.68,17.06,49.53,108.76,117.79,35.42,37.28,41.33,34.30,38.12,39.11,42.10,40.79,21.17,44.79,44.99,45.85,55.19,66.50,55.05,69.35,61.96,59.24,63.24,69.87,62.98,60.04,62.89,72.66,67.63,71.83,72.85,78.84,78.27,81.11,83.38,76.70,76.24,57.90,44.86,41.53,29.88,40.12,26.95,24.18,19.26,25.26,20.90,14.46,27.44,23.24,23.58,16.78,15.62,66.08,48.73,23.42,67.33,76.09,81.68,71.36,76.96,84.98,94.73,98.73,81.86,90.42,94.44,87.27,92.40,105.63,31.33,40.01,41.44,44.12,46.10,44.83,42.71,43.22,46.07,50.60,57.79,58.01,52.67,48.30,46.78,49.87,49.24,55.80,56.96,51.22,51.19,48.11,55.70,52.43,47.16,47.06,44.60,43.25,39.22,39.13,43.28,38.27,36.72,34.14,33.62,32.86,35.69,30.11,28.04,29.87,32.90,34.36,33.71,39.15,39.94,36.25,36.33,38.03,38.59,42.26,42.91,41.67,38.09,42.15,45.88,49.51,46.24,43.54,30.24,34.14,28.12,25.61,58.21,65.35,60.28,58.40,54.58,52.02,48.55,43.89,43.29,39.26,35.26,33.24,25.94,31.11,30.25,64.07,56.57,37.09,58.96,69.05,60.18,57.24,59.49,56.66,48.55,50.29,56.34,55.99,63.00,60.90,55.89,60.06,64.49,65.96,62.42,62.34,66.51,63.67,56.18,68.82,71.37,74.96,71.53,68.80,68.69,63.06,51.49,41.85,41.10,41.66,41.38,42.36,43.11,59.35,59.54,42.53,42.57
12,61.10,62.58,17.98,18.24,31.02,34.40,26.41,32.38,21.20,19.64,17.19,0.00,18.04,28.80,19.67,40.80,6.71,42.52,117.67,126.70,43.51,45.37,49.42,42.39,46.21,47.20,50.19,48.88,29.27,52.88,53.08,53.94,64.98,76.29,64.84,79.55,72.16,69.44,73.44,80.07,73.17,70.23,73.09,82.86,77.83,82.03,81.76,87.76,87.18,90.02,92.29,85.61,85.15,66.81,53.78,50.45,38.79,49.03,35.86,33.09,28.17,34.18,31.10,24.65,37.64,33.43,33.78,26.98,23.72,74.99,56.83,31.51,77.12,86.29,91.47,81.56,87.16,95.18,104.93,108.93,92.06,100.62,104.64,96.18,101.31,114.54,40.25,50.21,51.64,54.32,56.30,55.03,52.91,53.42,56.27,60.80,67.99,68.21,62.87,58.50,56.98,60.07,59.44,66.00,67.16,61.42,61.38,58.31,65.50,62.22,56.95,56.85,54.39,52.14,47.31,48.92,53.07,48.47,46.92,44.34,41.71,40.95,44.14,40.31,38.24,40.07,43.10,44.56,43.91,49.35,50.14,46.45,46.53,48.23,48.79,52.46,53.11,51.87,48.29,52.35,56.08,59.71,56.44,53.73,40.44,44.34,38.32,35.81,68.41,75.55,70.01,68.13,64.78,60.95,57.46,52.81,52.20,48.17,44.44,43.44,36.14,39.21,38.34,74.27,66.77,47.29,67.87,77.96,69.10,66.16,68.41,65.58,57.47,59.20,65.25,65.72,71.91,69.82,64.80,68.98,73.40,74.87,71.34,71.25,75.43,73.40,65.09,77.74,80.28,83.87,80.44,77.72,77.61,71.97,60.41,52.05,51.30,51.86,51.58,52.56,53.31,68.26,68.46,52.73,52.77
13,68.61,70.08,15.21,21.00,38.52,41.91,39.10,45.07,33.90,32.34,19.95,18.22,0.00,14.05,15.94,26.05,19.69,32.90,114.91,123.93,50.62,52.88,56.93,49.89,53.71,54.71,57.70,56.38,36.77,60.38,60.58,61.45,66.38,77.69,66.25,80.54,73.15,70.43,74.43,81.07,74.17,71.23,74.08,83.85,78.82,80.06,78.99,84.99,84.41,87.26,89.52,82.84,82.38,64.04,51.01,47.68,36.02,46.27,33.09,30.32,25.41,31.41,31.17,24.73,36.13,33.51,33.86,27.98,31.22,72.22,64.33,39.02,78.52,87.28,92.87,82.56,88.15,96.17,105.92,109.92,90.95,98.65,105.63,93.41,98.55,111.78,37.48,51.20,52.64,55.32,57.29,56.02,53.90,54.42,57.27,61.80,68.98,69.20,63.87,59.50,57.98,61.06,60.44,66.99,68.16,62.42,62.38,59.30,66.90,63.62,58.35,58.25,55.79,54.44,51.59,50.32,54.48,49.47,47.92,45.34,49.22,48.45,46.88,41.30,39.23,41.06,44.09,45.56,44.90,50.35,51.13,47.45,47.52,49.22,49.79,53.45,54.10,52.86,47.96,52.02,56.91,58.88,56.11,53.40,41.44,45.33,39.31,36.81,69.40,76.03,67.24,65.36,62.44,58.18,54.70,50.04,49.44,45.41,41.68,42.15,37.14,46.71,45.84,75.27,67.76,47.78,65.10,75.19,66.33,63.39,65.64,62.81,54.70,56.43,62.48,62.95,69.14,67.05,62.03,66.21,70.63,72.11,68.57,68.48,72.66,70.63,62.32,74.97,77.52,81.11,77.67,74.95,74.84,69.20,57.64,53.05,52.30,52.85,52.57,53.56,54.30,65.49,65.69,53.72,53.76
14,79.33,80.81,25.93,31.72,49.24,52.63,49.82,55.79,44.62,43.06,30.67,28.94,14.16,0.00,11.22,16.03,30.42,28.18,125.63,134.65,61.34,63.60,67.65,60.62,64.43,65.43,68.42,67.10,47.49,71.11,71.31,72.17,77.11,88.41,76.97,91.26,83.88,81.15,85.15,91.79,84.89,81.95,84.81,94.57,89.55,90.79,89.72,95.71,95.13,97.98,100.24,93.56,93.10,74.77,61.73,58.40,46.74,56.99,43.82,41.05,36.13,42.13,41.89,35.45,46.86,44.23,44.58,38.70,41.94,82.94,75.05,49.74,89.24,98.00,103.60,93.28,98.87,106.90,116.64,120.64,101.68,109.37,116.36,104.13,109.27,122.50,48.20,61.92,63.36,66.04,68.01,66.74,64.63,65.14,67.99,72.52,79.70,79.92,74.59,70.22,68.70,71.78,71.16,77.71,78.88,73.14,73.10,70.02,77.62,74.35,69.07,68.97,66.51,65.16,62.31,61.04,65.20,60.19,58.64,56.06,59.94,59.17,57.60,52.02,49.95,51.78,54.81,56.28,55.62,61.07,61.85,58.17,58.25,59.95,60.51,64.17,64.82,63.58,58.68,62.74,67.63,69.61,66.83,64.13,52.16,56.05,50.03,47.53,80.12,86.75,77.97,76.08,73.16,68.90,65.42,60.76,60.16,56.13,52.40,52.87,47.86,57.43,56.56,85.99,78.48,58.50,75.82,85.91,77.05,74.11,76.36,73.53,65.42,67.15,73.20,73.67,79.86,77.77,72.76,76.93,81.36,82.83,79.29,79.21,83.38,81.35,73.04,85.69,88.24,91.83,88.40,85.67,85.56,79.93,68.36,63.77,63.02,63.57,63.29,64.28,65.02,76.21,76.41,64.44,64.49
