trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
167MTWRT1,3913,9,,"",0,420010,24868,
167MTWRT2,3913,9,To Roanoke,"",1,420010,24867,
167MTWRT3,3913,9,,"",0,420010,24868,
167MTWRT4,3913,9,To Roanoke,"",1,420010,24867,
167MTWRT5,3913,9,,"",0,420010,24868,
167MTWRT6,3913,9,To Roanoke,"",1,420010,24867,
B10T1,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T10,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T11,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T12,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T13,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T14,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T15,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T16,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T17,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T18,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T19,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T2,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T20,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T21,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T22,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T23,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T24,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T25,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T26,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T27,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T28,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T29,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T3,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T30,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T4,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T5,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T6,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T7,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B10T8,4810,1,75 - Third Street Station to Veterans Hospital,"",0,419976,21717,
B10T9,4811,1,76 - Veterans Hospital to Third Street Station,"",1,419976,21718,
B11T1,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T10,4808,1,,"",0,419977,22389,
B11T11,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T12,4808,1,,"",0,419977,22389,
B11T13,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T14,4808,1,,"",0,419977,22389,
B11T15,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T16,4808,1,,"",0,419977,22389,
B11T17,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T18,4808,1,,"",0,419977,22389,
B11T19,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T2,4808,1,,"",0,419977,22389,
B11T20,4808,1,,"",0,419977,22389,
B11T21,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T22,4808,1,,"",0,419977,22389,
B11T23,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T24,4808,1,,"",0,419977,22389,
B11T25,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T26,4808,1,,"",0,419977,22389,
B11T27,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T28,4808,1,,"",0,419977,22389,
B11T29,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T3,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T30,4808,1,,"",0,419977,22389,
B11T4,4808,1,,"",0,419977,22389,
B11T5,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T6,4808,1,,"",0,419977,22389,
B11T7,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B11T8,4808,1,,"",0,419977,22389,
B11T9,4809,1,72 - Lewis Gale Hospital to Third Street Station,"",1,419977,21716,
B13T1,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T10,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T11,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T12,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T13,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T14,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T15,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T16,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T17,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T18,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T19,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T2,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T20,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T21,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T22,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T23,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T24,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T25,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T26,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T27,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T28,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T29,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T3,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T30,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T4,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T5,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T6,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T7,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B13T8,4793,1,31 - Third Street Station to Blue Hills Drive,"",0,419978,21696,
B13T9,4780,1,32 - Blue Hills Drive to Third Street Station,"",1,419978,21697,
B14T1,4833,1,,"",1,419979,24861,
B14T10,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T11,4833,1,,"",1,419979,24861,
B14T12,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T13,4833,1,,"",1,419979,24861,
B14T14,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T15,4833,1,,"",1,419979,24861,
B14T16,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T17,4833,1,,"",1,419979,24861,
B14T18,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T19,4833,1,,"",1,419979,24861,
B14T2,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T20,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T21,4833,1,,"",1,419979,24861,
B14T22,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T23,4833,1,,"",1,419979,24861,
B14T24,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T25,4833,1,,"",1,419979,24861,
B14T26,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T27,4833,1,,"",1,419979,24861,
B14T28,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T29,4833,1,,"",1,419979,24861,
B14T3,4833,1,,"",1,419979,24861,
B14T30,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T4,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T5,4833,1,,"",1,419979,24861,
B14T6,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T7,4833,1,,"",1,419979,24861,
B14T8,4832,1,35 - Third Street Station to Vinton,"",0,419979,21698,
B14T9,4833,1,,"",1,419979,24861,
B15AT1,4818,1,,"",1,419980,23322,
B15AT10,4817,1,,"",0,419980,26002,
B15AT11,4818,1,,"",1,419980,23321,
B15AT12,4817,1,,"",0,419980,26002,
B15AT13,4818,1,,"",1,419980,23321,
B15AT14,4817,1,,"",0,419980,26002,
B15AT15,4818,1,,"",1,419980,23321,
B15AT16,4817,1,,"",0,419980,26002,
B15AT2,4817,1,,"",0,419980,26002,
B15AT3,4818,1,,"",1,419980,23321,
B15AT4,4817,1,,"",0,419980,26002,
B15AT5,4818,1,,"",1,419980,23321,
B15AT6,4817,1,,"",0,419980,26002,
B15AT7,4818,1,,"",1,419980,23321,
B15AT8,4817,1,,"",0,419980,26002,
B15AT9,4818,1,,"",1,419980,23321,
B15BT1,4818,1,,"",1,419981,23322,
B15BT10,4817,1,,"",0,419981,26002,
B15BT11,4818,1,,"",1,419981,23321,
B15BT12,4817,1,,"",0,419981,26002,
B15BT13,4818,1,,"",1,419981,23321,
B15BT14,4817,1,,"",0,419981,26002,
B15BT15,4818,1,,"",1,419981,23321,
B15BT2,4817,1,,"",0,419981,26002,
B15BT3,4818,1,,"",1,419981,23321,
B15BT4,4817,1,,"",0,419981,26002,
B15BT5,4818,1,,"",1,419981,23321,
B15BT6,4817,1,,"",0,419981,26002,
B15BT7,4818,1,,"",1,419981,23321,
B15BT8,4817,1,,"",0,419981,26002,
B15BT9,4818,1,,"",1,419981,23321,
B161FT1,3913,5,,"",0,419999,24868,
B161FT2,3913,5,To Roanoke,"",1,419999,24867,
B161FT3,3913,5,,"",0,419999,24868,
B161FT4,3913,5,To Roanoke,"",1,419999,24867,
B161FT5,3913,5,,"",0,419999,24868,
B161FT6,3913,5,To Roanoke,"",1,419999,24867,
B161MTT1,3913,3,,"",0,419995,24868,
B161MTT2,3913,3,To Roanoke,"",1,419995,24867,
B161MTT3,3913,3,,"",0,419995,24868,
B161MTT4,3913,3,To Roanoke,"",1,419995,24867,
B161RT1,3913,4,,"",0,419997,24868,
B161RT2,3913,4,To Roanoke,"",1,419997,24867,
B161RT3,3913,4,,"",0,419997,24868,
B161RT4,3913,4,To Roanoke,"",1,419997,24867,
B161RT5,3913,4,,"",0,419997,24868,
B161RT6,3913,4,To Roanoke,"",1,419997,24867,
B162T1,3913,2,,"",1,419991,24886,
B162T2,3913,2,,"",0,419991,24868,
B162T3,3913,2,To Roanoke,"",1,419991,24867,
B163FT1,3913,5,,"",0,420000,24868,
B163FT2,3913,5,To Roanoke,"",1,420000,24867,
B163FT3,3913,5,,"",0,420000,24868,
