service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,0,20240917,20991231
10,0,0,1,0,0,0,0,20240917,20991231
11,0,1,1,1,0,0,0,20240917,20991231
12,0,0,0,0,0,0,1,20240917,20991231
13,1,0,0,0,0,0,0,20240917,20991231
2,1,1,1,1,1,0,0,20240917,20991231
3,1,1,0,0,0,0,0,20240917,20991231
4,0,0,0,1,0,0,0,20240917,20991231
5,0,0,0,0,1,0,0,20240917,20991231
6,1,1,1,0,0,0,0,20240917,20991231
7,0,0,1,1,0,0,0,20240917,20991231
8,0,0,0,0,0,1,0,20240917,20991231
9,1,1,1,1,0,0,0,20240917,20991231
