Z,DISTRICT,COUNTY,ACRES,POP,HH,WORK,VEH,EMP,EMP_NOSG,SCHOOL,IND,RET,HTRET,OFF,SER,SG_RET,SG_HOS,SG_AIR,SG_COL,SG_NAME,ID,N
1,4,51019,2452.285470,1525,794,760,1634,100,100,0,30,32,7,5,26,0,0,0,0,,0,1
2,4,51019,888.116685,401,154,154,305,10,10,0,0,0,0,5,5,0,0,0,0,,1,2
3,5,51023,1035.437895,722,352,358,618,815,815,0,486,167,3,15,144,0,0,0,0,,2,3
4,5,51023,1256.080202,2562,1060,1486,2327,179,179,672,7,5,37,10,120,0,0,0,0,,3,4
5,5,51023,1531.653521,1441,462,741,1085,470,470,0,119,61,4,220,66,0,0,0,0,,4,5
6,5,51023,3272.921177,704,276,423,600,106,106,0,27,3,0,16,60,0,0,0,0,,5,6
7,5,51023,811.286757,201,107,112,157,63,63,471,1,1,1,0,60,0,0,0,0,,6,7
8,5,51023,2429.335484,1750,695,784,1451,40,40,0,25,2,5,3,5,0,0,0,0,,7,8
9,5,51023,663.991677,950,329,587,844,71,71,0,0,7,0,11,53,0,0,0,0,,8,9
10,5,51023,1886.182467,1979,710,1070,1824,55,55,0,17,4,1,8,25,0,0,0,0,,9,10
11,5,51023,1325.371364,826,275,364,629,640,640,321,42,125,177,78,218,0,0,0,0,,10,11
12,5,51023,2174.912357,1207,450,498,920,180,180,0,7,18,108,4,43,0,0,0,0,,11,12
13,5,51023,962.071449,847,351,385,786,596,596,1097,3,144,109,107,233,0,0,0,0,,12,13
14,5,51023,1672.528700,1401,643,724,1365,491,491,391,275,5,44,29,138,0,0,0,0,,13,14
15,5,51023,2505.283822,1193,517,574,1199,181,181,0,16,65,7,23,70,0,0,0,0,,14,15
16,5,51023,3851.127750,975,366,425,831,115,115,0,72,0,0,29,14,0,0,0,0,,15,16
18,5,51023,2916.712649,906,364,460,738,375,375,244,31,4,0,246,94,0,0,0,0,,16,18
19,2,51121,1090.383110,752,257,368,524,166,166,0,100,22,6,4,34,0,0,0,0,,17,19
20,2,51121,646.910772,656,239,278,456,225,225,817,80,0,6,2,137,0,0,0,0,,18,20
21,4,51161,182.733251,738,443,504,694,40,40,0,5,21,1,2,11,0,0,0,0,,19,21
22,4,51161,147.919122,679,332,237,480,975,975,631,68,212,57,338,300,0,0,0,0,,20,22
23,4,51161,159.645516,1071,427,434,499,344,344,0,0,65,78,21,180,0,0,0,0,,21,23
24,4,51161,237.749310,747,334,299,439,130,130,0,2,15,13,6,94,0,0,0,0,,22,24
25,4,51161,272.866588,1478,538,792,1156,45,45,435,0,0,0,0,45,0,0,0,0,,23,25
26,4,51161,235.123690,983,353,600,716,250,250,500,52,36,74,43,45,0,0,0,0,,24,26
27,4,51161,390.584553,1575,722,804,1210,820,820,0,11,145,145,46,473,0,0,0,0,,25,27
28,4,51161,524.677143,1400,546,657,965,441,441,0,75,84,46,87,149,0,0,0,0,,26,28
29,4,51161,1372.724226,1203,499,494,878,406,406,0,4,249,71,5,77,0,0,0,0,,27,29
30,4,51161,504.750411,1446,565,794,1186,431,431,2039,9,100,6,28,288,0,0,0,0,,28,30
31,4,51161,677.045762,1739,741,794,1675,216,216,0,135,19,22,16,24,0,0,0,0,,29,31
32,4,51161,939.083221,1067,374,639,1054,41,41,0,0,5,6,6,24,0,0,0,0,,30,32
33,4,51161,1910.779175,682,319,389,769,150,150,0,122,4,0,12,12,0,0,0,0,,31,33
34,4,51161,3805.006661,1239,538,617,1238,165,165,323,53,9,2,14,87,0,0,0,0,,32,34
35,4,51161,521.108025,1223,464,695,955,25,25,0,9,0,0,0,16,0,0,0,0,,33,35
36,1,51161,1641.402631,3247,1550,1818,2833,2135,2135,0,147,554,317,133,984,0,0,0,0,,34,36
37,1,51161,110.156755,304,107,202,222,1805,1805,0,42,193,113,938,519,0,0,0,0,,35,37
38,1,51161,64.156542,0,0,0,0,950,950,0,0,623,197,36,94,0,0,0,0,,36,38
39,1,51161,454.411540,3111,1709,1851,2376,1290,1290,412,28,109,149,386,618,0,0,0,0,,37,39
40,1,51161,1275.213374,4661,2039,2344,3998,954,954,2581,174,114,0,120,546,0,0,0,0,,38,40
41,1,51161,499.387751,2347,1067,1104,1930,1481,1481,0,150,341,266,191,533,0,0,0,0,,39,41
42,1,51161,337.362744,1412,715,670,1290,639,639,0,1,90,183,118,247,0,0,0,0,,40,42
43,1,51161,745.798898,4765,2328,2626,3988,1239,1239,0,148,291,37,493,270,0,0,0,0,,41,43
44,1,51161,1026.299000,2711,962,1483,2364,359,359,999,33,14,11,70,231,0,0,0,0,,42,44
45,1,51161,560.391550,4035,1559,1819,3026,1235,1235,495,224,83,153,377,398,0,0,0,0,,43,45
46,1,51161,1069.528125,1964,798,869,1698,69,69,0,17,3,0,17,32,0,0,0,0,,44,46
47,1,51161,1291.361457,720,228,286,475,145,145,0,0,0,67,33,45,0,0,0,0,,45,47
48,2,51161,601.505223,65,33,35,49,635,635,0,89,174,0,321,51,0,0,0,0,,46,48
49,2,51161,245.684767,733,346,134,363,699,699,247,9,1,0,1,688,0,0,0,0,,47,49
50,2,51161,4752.500508,2130,821,1227,1800,270,270,0,246,6,0,1,17,0,0,0,0,,48,50
51,2,51161,830.183256,825,354,427,768,95,95,0,14,0,0,0,81,0,0,0,0,,49,51
52,2,51161,952.954339,1470,487,861,1227,120,120,0,14,0,0,85,21,0,0,0,0,,50,52
